"DUTDutch Harbor", Dutch Harbor, AK,DUT,"Dutch Harbor"
"EFDEllington Field", Houston, TX,EFD,"Ellington Field"
"EGEEagle County Regional", Eagle, CO,EGE,"Eagle County Regional"
"EKOElko Regional", Elko, NV,EKO,"Elko Regional"
"ELMElmiraCorning Regional", Elmira, NY,ELM,"ElmiraCorning Regional"
"ELPEl Paso International", El Paso, TX,ELP,"El Paso International"
"ERIErie International", Erie, PA,ERI,"Erie International"
"EUGMahlon Sweet Field", Eugene, OR,EUG,"Mahlon Sweet Field"
"EVVEvansville Regional", Evansville, IN,EVV,"Evansville Regional"
"EWRNewark Liberty International", Newark, NJ,EWR,"Newark Liberty International"
"EYWKey West Intl", Key West, FL,EYW,"Key West Intl"
"FAIFairbanks International", Fairbanks, AK,FAI,"Fairbanks International"
"FARHector International", Fargo, ND,FAR,"Hector International"
"FATFresno Air Terminal", Fresno, CA,FAT,"Fresno Air Terminal"
"FAYFayetteville", Fayetteville, NC,FAY,"Fayetteville"
"FCAGlacier Park International", Kalispell, MT,FCA,"Glacier Park International"
"FLLFt. Lauderdale-Hollywood International", Ft. Lauderdale, FL,FLL,"Ft. Lauderdale-Hollywood International"
"FLOFlorence Regional", Florence, SC,FLO,"Florence Regional"
"FNTBishop International", Flint, MI,FNT,"Bishop International"
"FSDSioux Falls Regional", Sioux Falls, SD,FSD,"Sioux Falls Regional"
"FSMFort Smith Muni", Fort Smith, AR,FSM,"Fort Smith Muni"
"FWAFt. Wayne International", Ft. Wayne, IN,FWA,"Ft. Wayne International"
"FYIFresno Yosemite International", Fresno, CA,FYI,"Fresno Yosemite International"
"GEGSpokane International", Spokane, WA,GEG,"Spokane International"
"GFKGrand Forks International", Grand Forks, ND,GFK,"Grand Forks International"
"GGGGregg County", Longview, TX,GGG,"Gregg County"
"GJTWalker Field", Grand Junction, CO,GJT,"Walker Field"
"GNVGainesville Regional", Gainesville, FL,GNV,"Gainesville Regional"
"GPTGulfport-Biloxi International", Gulfport, MS,GPT,"Gulfport-Biloxi International"
"GRBAustin Straubel International", Green Bay, WI,GRB,"Austin Straubel International"
"GRRGerald R. Ford International", Grand Rapids, MI,GRR,"Gerald R. Ford International"
"GSOPiedmont Triad International", GreensboroHigh Point, NC,GSO,"Piedmont Triad International"
"GSPGreenville-Spartanburg International", GreenvilleSpartanburg, SC,GSP,"Greenville-Spartanburg International"
"GSTGustavus", Gustavus, AK,GST,"Gustavus"
"GTFGreat Falls International", Great Falls, MT,GTF,"Great Falls International"
"GTRGolden Triangle Regional", Columbus, MS,GTR,"Golden Triangle Regional"
"GUCGunnison County", Gunnison, CO,GUC,"Gunnison County"
"GUMGuam International", Tamuning, GU,GUM,"Guam International"
"HDNYampa Valley", Steamboat Springs, CO,HDN,"Yampa Valley"
"HLNHelena Regional", Helena, MT,HLN,"Helena Regional"
"HNLHonolulu International", Honolulu (Oahu), HI,HNL,"Honolulu International"
"HOUWilliam P Hobby", Houston, TX,HOU,"William P Hobby"
"HPNWestchester County", White Plains, NY,HPN,"Westchester County"
"HRLValley International", Harlingen, TX,HRL,"Valley International"
